Neural Implicit Swept Volume Models for Fast Collision Detection,"Dominik Joho, Jonas Schwinn, Kirill Safronov","KUKA Deutschland GmbH,Kuka Deutschland GmbH",Representation Learning I,"Collision detection is one of the most time-consuming operations during motion planning. Thus, there is an increasing interest in exploring machine learning techniques to speed up collision detection and sampling-based motion planning. A recent line of research focuses on utilizing neural signed distance functions of either the robot geometry or the swept volume of the robot motion. Building on this, we present a novel neural implicit swept volume model to continuously represent arbitrary motions parameterized by their start and goal configurations. This allows to quickly compute signed distances for any point in the task space to the robot motion. Further, we present an algorithm combining the speed of the deep learning-based signed distance computations with the strong accuracy guarantees of geometric collision checkers. We validate our approach in simulated and real-world robotic experiments, and demonstrate that it is able to speed up a commercial bin picking application."
Reg-NF: Efficient Registration of Implicit Surfaces within Neural Fields,"Stephen Hausler, David Hall, Sutharsan Mahendren, Peyman Moghadam","CSIRO,Commonwealth Scientific and Industrial Research Organisation,Queensland University of Technology",Representation Learning I,"Neural fields, coordinate-based neural networks, have recently gained popularity for implicitly representing a scene. In contrast to classical methods that are based on explicit representations such as point clouds, neural fields provide a continuous scene representation able to represent 3D geometry and appearance in a way which is compact and ideal for robotics applications. However, limited prior methods have investigated registering multiple neural fields by directly utilising these continuous implicit representations. In this paper, we present Reg-NF, a neural fields-based registration that optimises for the relative 6-DoF transformation between two arbitrary neural fields, even if those two fields have different scale factors. Key components of Reg-NF include a bidirectional registration loss, multi-view surface sampling, and utilisation of volumetric signed distance functions (SDFs). We showcase our approach on a new neural field dataset for evaluating registration problems. We provide an exhaustive set of experiments and ablation studies to identify the performance of our approach, while also discussing limitations to provide future direction to the research community on open challenges in utilizing neural fields in unconstrained environments."
3D-OAE: Occlusion Auto-Encoders for Self-Supervised Learning on Point Clouds,"Junsheng Zhou, Xin Wen, Baorui Ma, Yu-shen Liu, Yue Gao, Yi Fang, Zhizhong Han","Tsinghua University,NVIDIA,Beijing Academy of Artificial Intelligence,New York University,Wayne State University",Representation Learning I,"The manual annotation for large-scale point clouds is still tedious and unavailable for many harsh real-world tasks. Self-supervised learning, which is used on raw and unlabeled data to pre-train deep neural networks, is a promising approach to address this issue. Existing works usually take the common aid from auto-encoders to establish the self-supervision by the self-reconstruction schema. However, the previous auto-encoders merely focus on the global shapes and do not distinguish the local and global geometric features apart. To address this problem, we present a novel and efficient self-supervised point cloud representation learning framework, named 3D Occlusion Auto-Encoder (3D-OAE), to facilitate the detailed supervision inherited in local regions and global shapes. We propose to randomly occlude some local patches of point clouds and establish the supervision via inpainting the occluded patches using the remaining ones. Specifically, we design an asymmetrical encoder-decoder architecture based on standard Transformer, where the encoder operates only on the visible subset of patches to learn local patterns, and a lightweight decoder is designed to leverage these visible patterns to infer the missing geometries via self-attention. We find that occluding a very high proportion of the input point cloud (e.g. 75%) will still yield a nontrivial self-supervisory performance, which enables us to achieve 3-4 times faster during training but also improve accuracy. Experimental results show that our approach outperforms the state-of-the-art on a diverse range of downstream discriminative and generative tasks. Code is available at https://github.com/junshengzhou/3D-OAE."
"Composing Pre-Trained Object-Centric Representations for Robotics from ""What"" and ""Where"" Foundation Models","Junyao Shi, Jianing Qian, Yecheng Jason Ma, Dinesh Jayaraman",University of Pennsylvania,Representation Learning I,"There have recently been large advances both in pre-training visual representations for robotic control and segmenting unknown category objects in general images. To leverage these for improved robot learning, we propose POCR, a new framework for building pre-trained object-centric representations for robotic control. Building on theories of ""what-where"" representations in psychology and computer vision, we use segmentations from a pre-trained model to stably locate across timesteps, various entities in the scene, capturing ""where"" information. To each such segmented entity, we apply other pre-trained models that build vector descriptions suitable for robotic control tasks, thus capturing ""what"" the entity is. Thus, our pre-trained object-centric representations for control are constructed by appropriately combining the outputs of off-the-shelf pre-trained models, with no new training. On various simulated and real robotic tasks, we show that imitation policies for robotic manipulators trained on POCR achieve better performance and systematic generalization than state of the art pre-trained representations for robotics, as well as prior object-centric representations that are typically trained from scratch."
SKT-Hang: Hanging Everyday Objects Via Object-Agnostic Semantic Keypoint Trajectory Generation,"Chia-liang Kuo, Yu-Wei Chao, Yi-ting Chen","National Yang Ming Chiao Tung University,NVIDIA",Representation Learning I,"We study the problem of hanging a wide range of grasped objects on diverse supporting items. Hanging objects is a ubiquitous task that is encountered in numerous aspects of our everyday lives. However, both the objects and supporting items can exhibit substantial variations in their shapes and structures, bringing two challenging issues: (1) determining the task-relevant geometric structures across different objects and supporting items, and (2) identifying a robust action sequence to accommodate the shape variations of supporting items. To this end, we propose Semantic Keypoint Trajectory (SKT), an object-agnostic representation that is highly versatile and applicable to various everyday objects. We also propose Shape-conditioned Trajectory Deformation Network (SCTDN), a model that learns to generate SKT by deforming a template trajectory based on the task-relevant geometric structure features of the supporting items. We conduct extensive experiments and demonstrate substantial improvements in our framework over existing robot hanging methods in the success rate and inference time. Finally, our simulation-trained framework shows promising hanging results in the real world. For videos and supplementary materials, please visit our project webpage: https://hcis-lab.github.io/SKTHang/."
A Novel Robotic Bronchoscope with a Spring-Based Extensible Segment for Improving Steering Ability,"Jie Wang, Chengquan Hu, Jingyi Kang, jiayuan Liu, Longfei Ma, Hongen Liao",Tsinghua University,Surgical Robotics II,"Bronchoscopy, as an essential minimally invasive diagnostic and therapeutic modality, assumes a pivotal role in the early detection of lung cancer. However, the complex anatomy of the airway and the fixed length of the bronchoscopeâ€™s bending segment, along with its external propulsion property, pose challenges, including the risk of bleeding. This paper introduces a 4 mm diameter robot-assisted bronchoscope with a spring-based extensible segment. By manipulating two driven rods, the segment can be lengthened or shortened. The advantages of the extensible segment are discussed in two main aspects through theoretical analysis and experimentation. Firstly, the extensible segment enables the bronchoscope to move in a follow-the-leader motion mode or fixed-angle motion mode, navigating through narrow corners that are inaccessible to fixed-length bronchoscopes. It can also be shortened to increase its stiffness when it reaches the target position, creating a stable surgical platform for procedures like biopsies. In addition, a tailored master device has been developed to control the extensible bronchoscope in an isotropic manner. Phantom experiments confirm the feasibility and effectiveness of the extensible bronchoscope."
Robust Surgical Tool Tracking with Pixel-Based Probabilities for Projected Geometric Primitives,"Christopher D'ambrosia, Florian Richter, Zih-Yun Chiu, Nikhil Shinde, Fei Liu, Henrik Christensen, Michael Yip","University of California, San Diego,University of California San Diego,UCSD",Surgical Robotics II,"Controlling robotic manipulators via visual feedback requires a known coordinate frame transformation between the robot and the camera. Uncertainties in mechanical systems as well as camera calibration create errors in this coordinate frame transformation. These errors result in poor localization of robotic manipulators and create a significant challenge for applications that rely on precise interactions between manipulators and the environment. In this work, we estimate the camera-to-base transform and joint angle measurement errors for surgical robotic tools using an image based insertion-shaft detection algorithm and probabilistic models. We apply our proposed approach in both a structured environment as well as an unstructured environment and measure to demonstrate the efficacy of our methods."
Ada-Tracker: Soft Tissue Tracking Via Inter-Frame and Adaptive-Template Matching,"Jiaxin Guo, Jiangliu Wang, Zhaoshuo Li, Tongyu Jia, Qi Dou, Yunhui Liu","The Chinese University of Hong Kong,Johns Hopkins University,Faculty of Urology, Third Medical Center, Chinese PLA General Ho,Chinese University of Hong Kong",Surgical Robotics II,"Soft tissue tracking is crucial for computer-assisted interventions. Existing approaches mainly rely on extracting discriminative features from the template and videos to recover corresponding matches. However, it is difficult to adopt these techniques in surgical scenes, where tissues are changing in shape and appearance throughout the surgery. To address this problem, we exploit optical flow to naturally capture the pixel-wise tissue deformations and adaptively correct the tracked template. Specifically, we first implement an inter-frame matching mechanism to extract a coarse region of interest based on optical flow from consecutive frames. To accommodate appearance change and alleviate drift, we then propose an adaptive-template matching method, which updates the tracked template based on the reliability of the estimates. Our approach, Ada-Tracker, enjoys both short-term dynamics modeling by capturing local deformations and long-term dynamics modeling by introducing global temporal compensation. We evaluate our approach on the public SurgT benchmark, which is generated from Hamlyn, SCARED, and Kidney boundary datasets. The experimental results show that Ada-Tracker achieves superior accuracy and performs more robustly against prior works. Code is available at https://github.com/wrld/Ada-Tracker."
Real-To-Sim Deformable Object Manipulation: Optimizing Physics Models with Residual Mappings for Robotic Surgery,"Xiao Liang, Fei Liu, Yutong Zhang, Yuelei Li, Shan Lin, Michael Yip","University of California San Diego,UCSD,University of California, San Diego",Surgical Robotics II,"Accurate deformable object manipulation (DOM) is essential for achieving autonomy in robotic surgery, where soft tissues are being displaced, stretched, and dissected. Many DOM methods can be powered by simulation, which ensures realistic deformation by adhering to the governing physical constraints and allowing for model prediction and control. However, real soft objects in robotic surgery, such as membranes and soft tissues, have complex, anisotropic physical parameters that a simulation with simple initialization from cameras may not fully capture. To use the simulation techniques in real surgical tasks, the real-to-sim gap needs to be properly compensated. In this work, we propose an online, adaptive parameter tuning approach for simulation optimization that (1) bridges the real-to-sim gap between a physics simulation and observations obtained 3D perceptions through estimating a residual mapping and (2) optimizes its stiffness parameters online. Our method ensures a small residual gap between the simulation and observation and improves the simulation's predictive capabilities. The effectiveness of the proposed mechanism is evaluated in the manipulation of both a thin-shell and volumetric tissue, representative of most tissue scenarios. This work contributes to the advancement of simulation-based deformable tissue manipulation and holds potential for improving surgical autonomy."
Efficient and Accurate Mapping of Subsurface Anatomy Via Online Trajectory Optimization for Robot Assisted Surgery,"Brian Y Cho, Alan Kuntz",University of Utah,Surgical Robotics II,"Robotic surgical subtask automation has the potential to reduce the per-patient workload of human surgeons. There are a variety of surgical subtasks that require geometric information of subsurface anatomy, such as the location of tumors, which necessitates accurate and efficient surgical sensing. In this work, we propose an automated sensing method that maps 3D subsurface anatomy to provide such geometric knowledge. We model the anatomy via a Bayesian Hilbert map-based probabilistic 3D occupancy map. Using the 3D occupancy map, we plan sensing paths on the surface of the anatomy via a graph search algorithm, A* search, with a cost function that enables the trajectories generated to balance between exploration of unsensed regions and refining the existing probabilistic understanding. We demonstrate the performance of our proposed method by comparing it against 3 different methods in several anatomical environments including a real-life CT scan dataset. The experimental results show that our method efficiently detects relevant subsurface anatomy with shorter trajectories than the comparison methods, and the resulting occupancy map achieves high accuracy."
A Cross-Entropy Motion Planning Framework for Hybrid Continuum Robots,"Jibiao Chen, Junyan Yan, Yufu Qiu, Haiyang Fang, Jianghua Chen, Shing Shin Cheng","The Chinese University of Hong Kong,The Chinese University of HongKong",Surgical Robotics II,
Evaluating the Task Generalization of Temporal Convolutional Networks for Surgical Gesture and Motion Recognition Using Kinematic Data,"Kay Hutchinson, Ian Reyes, Zongyu Li, Homa Alemzadeh","University of Virginia,IBM,The University of Virginia",Surgical Robotics II,"Fine-grained activity recognition enables explainable analysis of procedures for skill assessment, autonomy, and error detection in robot-assisted surgery. However, existing recognition models suffer from the limited availability of annotated datasets with both kinematic and video data and an inability to generalize to unseen subjects and tasks. Kinematic data from the surgical robot is particularly critical for safety monitoring and autonomy, as it is unaffected by common camera issues such as occlusions and lens contamination. We leverage an aggregated dataset of six dry-lab surgical tasks from a total of 28 subjects to train activity recognition models at the gesture and motion primitive (MP) levels and for separate robotic arms using only kinematic data. The models are evaluated using the LOUO (Leave-One-User-Out) and our proposed LOTO (Leave-One-Task-Out) cross validation methods to assess their ability to generalize to unseen users and tasks respectively. Gesture recognition models achieve higher accuracies and edit scores than MP recognition models. But, using MPs enables the training of models that can generalize better to unseen tasks. Also, higher MP recognition accuracy can be achieved by training separate models for the left and right robot arms. For task-generalization, MP recognition models perform best if trained on similar tasks and/or tasks from the same dataset."
Lens Capsule Tearing in Cataract Surgery Using Reinforcement Learning,"Rebekka Charlotte Peter, Steffen Peikert, Ludwig Haide, Doan Xuan Viet Pham, Tahar Chettaoui, Eleonora Tagliabue, Paul Maria Scheikl, Johannes Fauser, Matthias Hillenbrand, Gerhard Neumann, Franziska Mathis-Ullrich","Carl Zeiss AG,Friedrich-Alexander-University (FAU) Erlangen-Nuremberg,Carl Zeiss AG, Karlsruhe Institute of Technology - KIT (master t,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),Carl ZEISS AG,Karlsruhe Institute of Technology,Friedrich-Alexander-University Erlangen-Nurnberg (FAU)",Surgical Robotics II,"Cataract is the leading cause of blindness worldwide with an increasing number of patients due to changing demographics, making automation an important part in future surgical treatment. In this work, we focus on a substep of cataract surgery, the Continuous Curvilinear Capsulorhexis (CCC). With a high complexity, this task is an ideal candidate for Reinforcement Learning (RL) in simulation. First, we present an interactive and physically realistic simulation based on the Finite Element Method (FEM) that mimics the tearing behavior of soft tissue during CCC. Then, we train and evaluate RL models in simulation, demonstrating that the trained policies can complete the CCC in 85% of cases. We also show that applying domain randomization techniques make the policy more robust against changes in geometrical and biomechanical boundary conditions."
ORBIT-Surgical: An Open-Simulation Framework for Learning Surgical Augmented Dexterity,"Qinxi Yu, Masoud Moghani, Karthik Dharmarajan, Vincent Schorp, William Panitch, Jingzhou Liu, Kush Hari, Huang Huang, Mayank Mittal, Ken Goldberg, Animesh Garg","University of Toronto,UC Berkeley,UC Berkeley, AUTOLab,University of California, Berkeley,University of Toronto, NVIDIA,University of California at Berkeley,ETH Zurich,Georgia Institute of Technology",Surgical Robotics II,"Physics-based simulations have accelerated progress in robot learning for driving, manipulation, and locomotion. Yet, a fast, accurate, and robust surgical simulation environment remains a challenge. In this paper, we present ORBIT-Surgical, a physics-based surgical robot simulation framework with photorealistic rendering in NVIDIA Omniverse. We provide 14 benchmark surgical tasks for the da Vinci Research Kit (dVRK) and Smart Tissue Autonomous Robot (STAR) which represent common subtasks in surgical training. ORBIT-Surgical leverages GPU parallelization to train reinforcement learning and imitation learning algorithms to facilitate study of robot learning to augment human surgical skills. ORBIT-Surgical also facilitates realistic synthetic data generation for active perception tasks. We demonstrate ORBIT-Surgical sim-to-real transfer of learned policies onto a physical dVRK robot. Project website: orbit-surgical.github.io"
Relaxed Hover Solution Based Control for a Bi-Copter with Rotor and Servo Stuck Failure,"Haixin Zhao, Ruifeng Li, Quan Quan",Beihang University,Failure Detection and Recovery,"As the usage of bi-copters increases in military and civilian fields, the demand for reliable bi-copters is on the rise. This study focuses on controlling a bi-copter under rotor or servo stuck failure. A relaxed hover solution is derived for the bi-copter, by solving an optimization problem subject to rotor and servo stuck failures. The solution is used for designing a reduced attitude controller based on linear quadratic regulator (LQR). To ensure hover capability, we introduce a position controller based on a cascaded-PID. The numerical simulations are conducted to demonstrate that position control is possible, even with complete rotor or servo stuck failure, by driving the bi-copter into relaxed hover state through the abandonment of the yaw channel. Meanwhile, the FTC scheme is examined under constant wind disturbances and uncertainties in the rotational damping parameters."
Aim-Aware Collision Monitoring: Discriminating between Expected and Unexpected Post-Impact Behaviors,"Benn Proper, Alexander Andreas Kurdas, Saeed Abdolshah, Sami Haddadin, Alessandro Saccon","Eindhoven University of Technology,Technical University of Munich,KUKA Deutschland GmbH",Failure Detection and Recovery,"To speed up and reduce power consumption per cycle in robotic manipulation, one option is to exploit intentional collisions with the surrounding environment and objects, an approach referred to as impact-aware manipulation. Within this context, this paper focuses on developing an online collision monitoring framework for distinguishing between expected and unexpected post-impact behaviors. The classification is based on a desired post-impact motion created via an idealized rigid robot-object-environment model. To generate a classification error bound, it employs a causal envelop filter that is needed due to the unavoidable joint and environment flexibility. In this way, it becomes possible to compare a desired idealized rigid response, which is straightforward to obtain with existing tools, with a measured impact response, which is affected by difficult-to-model post-impact oscillations. The classifier can be used for single-contact as well as multi-contact impact scenarios, such as those occurring in surface-to-surface impacts, and allows for tuning of the sensitivity between expected and unexpected post-impact behaviors. The monitoring framework fuses a (bandpass) momentum observer with impact-aware control to extend the classical collision event pipeline. As a proof of concept, we show the effectiveness of the approach through numerical simulations as well as with preliminary experimental results."
The Voraus-AD Dataset for Anomaly Detection in Robot Applications,"Jan Thieß Brockmann, Marco Rudolph, Bodo Rosenhahn, Bastian Wandt","voraus robotik GmbH,Leibniz University Hannover,Institute of Information Processing, Leibniz Universität Hannove,Linköping University",Failure Detection and Recovery,"During the operation of industrial robots, unusual events may endanger the safety of humans and the quality of production. When collecting data to detect such cases, it is not ensured that data from all potentially occurring errors is included as unforeseeable events may happen over time. Therefore, anomaly detection (AD) delivers a practical solution, using only normal data to learn to detect unusual events. We introduce a dataset that allows training and benchmarking of anomaly detection methods for robotic applications based on machine data which will be made publicly available to the research community. As a typical robot task the dataset includes a pick-and-place application which involves movement, actions of the end effector and interactions with the objects of the environment. Since several of the contained anomalies are not task-specific but general, evaluations on our dataset are transferable to other robotics applications as well. Additionally, we present MVT-Flow as a new baseline method for anomaly detection: It relies on deep-learning-based density estimation with normalizing flows, tailored to the data domain by taking its structure into account."
Multimodal Detection and Classification of Robot Manipulation Failures,"Arda Inceoglu, Eren Erdal Aksoy, Sanem Sariel","istanbul technical university,Halmstad University,Istanbul Technical University",Failure Detection and Recovery,"An autonomous service robot should be able to interact with its environment safely and robustly without requiring human assistance. Unstructured environments are challenging for robots since the exact prediction of outcomes is not always possible. Even when the robot behaviors are well-designed, the unpredictable nature of physical robot-object interaction may prevent success in object manipulation. Therefore, execution of a manipulation action may result in an undesirable outcome involving accidents or damages to the objects or environment. Situation awareness becomes important in such cases to enable the robot to (i) maintain the integrity of both itself and the environment, (ii) recover from failed tasks in the short term, and (iii) learn to avoid failures in the long term. For this purpose, robot executions should be continuously monitored, and failures should be detected and classified appropriately. In this work, we focus on detecting and classifying both manipulation and post-manipulation phase failures using the same exteroception setup. We cover a diverse set of failure types for primary tabletop manipulation actions. In order to detect these failures, we propose FINO-Net [1], a deep multimodal sensor fusion based classifier network. Proposed network accurately detects and classifies failures from raw sensory data without any prior knowledge. In this work, we use our extended FAILURE dataset [1] with 99 new multimodal manipulation recordings and annotate them with"
FT-Net: Learning Failure Recovery and Fault-Tolerant Locomotion for Quadruped Robots,"Zeren Luo, Erdong Xiao, Peng Lu",The University of Hong Kong,Failure Detection and Recovery,"Quadruped robots, in recent years, have been increasingly used in extremely harsh and dangerous conditions. Consequently, diverse severe hardware failures may occur at any time during the working cycle of the robots. In this work, we propose a fault-tolerant (FT) control pipeline based on model-free reinforcement learning -- FT-Net, which is guided by an inverted pendulum model and support polygon. This pipeline allows the robot to dynamically and autonomously adapt to both partial and complete motor failures. Unlike conventional FT control methods that need to pinpoint the failed location, our controller identifies the fault implicitly with a neural network-based adaptor. Furthermore, we achieve a unified policy that is capable of switching from four-legged to three-legged walking mode when the complete motor failure occurs. It is shown by both extensive simulation and hardware experiments that FT-Net learns to effectively perform recovery behaviors. The fault-tolerant locomotion can even be executed in various dynamic tasks and terrains."
Utilizing a Malfunctioning 3D Printer by Modeling Its Dynamics with Machine Learning,"Renzo Caballero, Piotr PiÄ™kos, Eric Feron, Jürgen Schmidhuber","King Abdullah University of Science and Technology,Technische Universität München",Failure Detection and Recovery,"To create a self-repairing 3D printer, it must continue operating even after experiencing corruption. This work focuses on developing a method to effectively utilize a malfunctioning printer for reliable printing. This method can be applied by the printer itself for self-repair and enhance the reliability of commercial 3D printers. We achieve this by modeling the dynamics of the corrupted printer using a machine learning model that by observing one trajectory infers the corrupted printer dynamics to improve its accuracy. Our method is evaluated on a digital twin of the 3D printer, demonstrating its capability to enable the printer to operate reliably, even when encountering new corruptions not encountered during training."
A Novel Metric for Detecting Quadrotor Loss-Of-Control,"Jasper Van Beers, Prashant Solanki, Coen De Visser","Delft University of Technology,TU Delft",Failure Detection and Recovery,"Unmanned aerial vehicles (UAVs) are becoming an integral part of both industry and society. In particular, the quadrotor is now invaluable across a plethora of fields and recent developments, such as the inclusion of aerial manipulators, only extends their versatility. As UAVs become more widespread, preventing loss-of-control (LOC) is an ever growing concern. Unfortunately, LOC is not clearly defined for quadrotors, or indeed, many other autonomous systems. Moreover, any existing definitions are often incomplete and restrictive. A novel metric, based on actuator capabilities, is introduced to detect LOC in quadrotors. The potential of this metric for LOC detection is demonstrated through both simulated and real quadrotor flight data. It is able to detect LOC induced by actuator faults without explicit knowledge of the occurrence and nature of the failure. The proposed metric is also sensitive enough to detect LOC in more nuanced cases, where the quadrotor remains undamaged but nevertheless losses control through an aggressive yawing manoeuvre. As the metric depends only on system and actuator models, it is sufficiently general to be applied to other systems."
Specifying and Monitoring Safe Driving Properties with Scene Graphs,"Felipe Toledo, Trey Woodlief, Sebastian Elbaum, Matthew Dwyer",University of Virginia,Failure Detection and Recovery,"With the proliferation of autonomous vehicles (AVs) comes the need to ensure they abide by safe driving properties. Specifying and monitoring such properties, however, is challenging because of the mismatch between the semantic space over which typical driving properties are asserted (e.g., vehicles, pedestrians, intersections) and the sensed inputs of AVs. Existing efforts either assume for such semantic data to be available or develop bespoke methods for capturing it. Instead, this work introduces a framework that can extract scene graphs (SGs) from sensor inputs to capture the entities related to the AV, and a domain-specific language that enables building propositions over those graphs and composing them through temporal logic. We implemented the framework to monitor for specification violations of 3 top AVs from the CARLA Autonomous Driving Leaderboard, and found that the AVs violated 71% of properties during at least one test. Artifact available at https://github.com/less-lab-uva/SGSM"
Using Large Language Models to Generate and Apply Contingency Handling Procedures in Collaborative Assembly Applications,"Jeon Ho Kang, Neel Dhanaraj, Siddhant Ravindra Wadaskar, Satyandra K. Gupta",University of Southern California,Failure Detection and Recovery,"In manufacturing, minimizing operational delays is crucial for efficiency and resilience. Therefore efficiently handling contingencies is an important capability in the context of human-robot teams working on assembly (i.e., collaborative assembly) applications. This paper introduces a novel approach to generating contingency handling procedures by leveraging recent advances in Large Language Models (LMMs). Our approach uses LLMs to update the required tasks in hierarchical task networks (HTNs) to handle contingencies. The results demonstrate that our approach is able to handle a wide variety of contingencies in assembly applications and minimizes impact on the assembly completion time."
A Robotic Surgery Platform for Automated Tissue Micromanipulation in Zebrafish Embryos,"Ece Ozelci, Erfan Etesami, Laurel Rohde, Andrew Oates, Mahmut Selman Sakar",EPFL,Micro/Nano Robots II,"Microsurgical manipulations are key experimental techniques in life science research, particularly in embryology. These techniques are most often performed manually by highly skilled scientists, posing limitations on speed, precision, and re- producibility. Here we introduce a fully automated robotic mi- crosurgery platform that generates explants of specific tail tis- sue from growing zebrafish embryos, a popular model organism for vertebrate development. Our work leverages both classical and deep learning-based image-processing techniques to perform robotic micromanipulation on biological specimens. Using two ex- ample experimental cases as proof of concept, we show that our automated platform is more precise, accurate, and efficient than teleoperated and manual microsurgery conducted by experienced scientists. Moreover, we demonstrate the usefulness of our platform for inexperienced experimentalists, supporting an important role for robotic microsurgery in broadening the use of such techniques in experimental research."
Skill Learning in Robot-Assisted Micro-Manipulation through Human Demonstrations with Attention Guidance,"Yujian An, Jianxin Yang, Jinkai Li, Bingze He, Yao Guo, Guang-Zhong Yang",Shanghai Jiao Tong University,Micro/Nano Robots II,"For the development of robotic systems for micro-manipulation, it is challenging to design appropriate control strategies due to either the lack of sufficient information for feedback or the difficulty in extracting subtle yet critical visual features. With the same system under the teleoperated mode, however, human operators seem to be able to complete the task more successfully with an inherent motion and control strategy. The extraction of implicit human attention during the task and integration of this with robot control could provide crucial guidance in the design of feature extraction and motion control algorithms. In this paper, a micro-assembly task of miniature thin membrane sensors is considered. For human demonstrations, we collected data from repeated tests performed by ten operators following three motion strategies. The human attention during the task is explored according to the coordinates of the eye gaze, and then a neural network with gaze-guided attention is trained to segment the visual Region of Interest (ROI). After quantitative evaluation of operator results in terms of success rate, efficiency, reset time, and the Index of Pupillary Activity (IPA), an optimized motion strategy based on the ``palpation"" framework was derived. Consequently, we apply this strategy to automated tasks and achieve superior results than human operators, showing an average task completion time of 34.8Â±5.9s and a success rate of over 90%."
Automated Surgical Knot Tying on Mini-Incision with Micro-Suture Based on Dual-Arm Nanorobot under Stereo Microscope,"Yujie Jiang, Xiang Fu, Chengxi Zhong, Teng Li, Haojian Lu, Song Liu","ShanghaiTech University,Zhejiang University",Micro/Nano Robots II,"Knot tying is an essential task for robotic surgery, which is routinely realized by dual-arm robotic manipulation. Despite the well-established protocol and progress at macro scale so far, there remain challenges to further advance robotic knot tying technique, particularly in terms of decreasing space consumption with better dexterity, higher precision, and well biomechanical compatibility. In this paper, we propose a novel dual-arm nanorobotic system setup for automated knot tying performed on mini-incision under stereo microscope, featured by an additional rotation degree of freedom mounted on each arm. With this setup, an optimized motion trajectory planning under standard knot-tying protocol is also presented in order to support tying knots with shorter and thinner suture. Leveraging the natural advantage of nanorobotics and microscope, the proposed system is capable of tying consecutive throws with micro-suture on mini-incision, like in vascular anastomosis or microsurgery. We successfully evaluated the knot tying system on 2.0 mm wide bionic blood vessel with 30 mm long #8-0 micro-suture. We finally tested the mechanical strength of the knots for potential medical assessment."
Weakly-Supervised Depth Completion During Robotic Micromanipulation from a Monocular Microscopic Image,"Han Yang, Yufei Jin, Guanqiao Shan, Yibin Wang, Yongbin Zheng, Jiangfan Yu, Yu Sun, Zhuoran Zhang","The Chinese University of Hong Kong, Shenzhen,The Chinese Univiersity of Hong Kong(shenzhen),University of Toronto,The Chinese University of HongKong, Shenzhen,The Chinese University of Hong Kongï¼ŒShenzhen,Chinese University of Hong Kong, Shenzhen",Micro/Nano Robots II,"Obtaining three-dimensional information, especially the z-axis depth information, is crucial for robotic micromanipulation. Due to the unavailability of depth sensors such as lidars in micromanipulation setups, traditional depth acquisition methods such as depth from focus or depth from defocus directly infer depth from microscopic images and suffer from poor resolution. Alternatively, micromanipulation tasks obtain accurate depth information by detecting the contact between an end-effector and an object (e.g., a cell). Despite its high accuracy, only sparse depth data can be obtained due to its low efficiency. This paper aims to address the challenge of acquiring dense depth information during robotic cell micromanipulation. A weakly-supervised depth completion network is proposed to take cell images and sparse depth data obtained by contact detection as input to generate a dense depth map. A two-stage data augmentation method is proposed to augment the sparse depth data, and the depth map is optimized by a network refinement method. The experimental results show that the MAE value of the depth prediction error is less than 0.3 $mu$m, which proves the accuracy and effectiveness of the method. This deep learning network pipeline can be seamlessly integrated with the robotic micromanipulation tasks to provide accurate depth information."
Dynamic Adaptive Imaging System on Optoelectronic Tweezers Platform,"Ao Wang, Chunyuan Gan, Haocheng Han, Hongyi Xiong, Jiawei Zhao, Chutian Wang, Lin Feng","Beihang University,Beihang university,Beihang University,School of Mechanical Engineering and Automati",Micro/Nano Robots II,"Optoelectronic tweezers (OET) has shown great promise in various applications, especially in the precise manipulation of microparticles and microorganisms on a micron and nanometer scale. This technology significantly enhances the efficiency of single-cell sorting and the development of antibody-based drugs. However, conventional OET platforms are limited by issues such as low autofocusing accuracy, restricted imaging field of view, and uneven illumination. To overcome these limitations, we have innovatively developed a dynamic adaptive imaging system. By incorporating peak-finding and in situ Gaussian blur compensation algorithms, we achieved rapid automatic focusing and illumination shadow compensation across an expanded field of view. At the same time, the system can also dynamically adjust compensation parameters under different lighting conditions. Our system has successfully completed comprehensive scanning of the optoelectronic tweezers chip, achieving a 60% reduction in autofocus time and a 15.8% improvement in lighting uniformity. Moreover, this imaging system demonstrates robust versatility and can serve as a reference for other optical systems."
Automated Dissection of Intact Single Cell from Tissue Using Robotic Micromanipulation System,"Youchao Zhang, Xiangyu Guo, Qingyu Wang, Fanghao Wang, Chuanjie Liu, Mingchuan Zhou, Yibin Ying",Zhejiang University,Micro/Nano Robots II,"Obtaining single cell from tissues is important for intersection of information and bioscience research. In this article, a robotic framework based on micromanipulation system has been proposed, which can automatically and intelligently cut down single cells intact from tissue sections. The proposed method consists of several steps. An attention mechanism improved (AMI) tip localization neural network is proposed to detect and track the needle tip of micro-scale displacement end-effector within the limited field of view under microscopy. Then, the transformation matrix between the camera and coordinate system of the robot is calculated. And the cutting trajectory is generated and optimized. Finally, the end-effector is controlled to obtain intact single cells from tissues by model predictive control (MPC). The performance of the framework is verified in paraffin tissue sections dissection experiment which shows proposed framework is robust and precise enough to obtain an intact single cell. The error of autonomous single cell dissection is no more than 0.61 um."
